# x_m, y_m, w_tr_right_m, w_tr_left_m
-53.0625, -8.2500, 1.4375, 1.4375
-53.0625, -8.3125, 1.4375, 1.4375
-53.0625, -8.3750, 1.4375, 1.4375
-53.0625, -8.4375, 1.4375, 1.4375
-53.0625, -8.5000, 1.4375, 1.4375
-53.0625, -8.5625, 1.4375, 1.4375
-53.0625, -8.6250, 1.4375, 1.4375
-53.0625, -8.6875, 1.4375, 1.4375
-53.0625, -8.7500, 1.4375, 1.4375
-53.0625, -8.8125, 1.4375, 1.4375
-53.0625, -8.8750, 1.4375, 1.4375
-53.0625, -8.9375, 1.4375, 1.4375
-53.0625, -9.0000, 1.4375, 1.4375
-53.0625, -9.0625, 1.4375, 1.4375
-53.0625, -9.1250, 1.4375, 1.4375
-53.0625, -9.1875, 1.4375, 1.4375
-53.0625, -9.2500, 1.4375, 1.4375
-53.0625, -9.3125, 1.4375, 1.4375
-53.0625, -9.3750, 1.4375, 1.4375
-53.0625, -9.4375, 1.4375, 1.4375
-53.0625, -9.5000, 1.4375, 1.4375
-53.0625, -9.5625, 1.4375, 1.4375
-53.0625, -9.6250, 1.4375, 1.4375
-53.0625, -9.6875, 1.4375, 1.4375
-53.0625, -9.7500, 1.4375, 1.4375
-53.0625, -9.8125, 1.4375, 1.4375
-53.0625, -9.8750, 1.4375, 1.4375
-53.0625, -9.9375, 1.4375, 1.4375
-53.0625, -10.0000, 1.4375, 1.4375
-53.0625, -10.0625, 1.4375, 1.4375
-53.0625, -10.1250, 1.4375, 1.4375
-53.0625, -10.1875, 1.4375, 1.4375
-53.0625, -10.2500, 1.4375, 1.4375
-53.0625, -10.3125, 1.4375, 1.4375
-53.0625, -10.3750, 1.4375, 1.4375
-53.0625, -10.4375, 1.4375, 1.4375
-53.0625, -10.5000, 1.4375, 1.4375
-53.0625, -10.5625, 1.4375, 1.4375
-53.0625, -10.6250, 1.4375, 1.4375
-53.0625, -10.6875, 1.4375, 1.4375
-53.0625, -10.7500, 1.4375, 1.4375
-53.0625, -10.8125, 1.4375, 1.4375
